,Goals,Knockout,OnTarget_%,Short_%,Succ_Ratio,Total_FKs,Short_FKs,Passes_Att,Pass_Comp%,Opp_Total_Fouls,Opp_Yellow_Cards,Cards/Fouls,OppTackles_Successful%,Opp_Aggressiveness,Opp_Total_Saves,Opp_Saves/Shots,Opp_Shots_Blocked,Opp_Conceded_Corners,dummy_home,bad_weather,Win_Pr(),Btts_Pr()
244,2,0,0.2833333333333333,0.43333333333333335,0.2727272727272727,39.0,0.20512820512820512,2053.0,0.8611787627861666,34.0,8.0,0.2352941176470588,0.5161290322580645,1.0,12.0,0.4137931034482759,4.0,10.0,0.0,0,0.1724137931034483,0.41152263374485604
245,0,0,0.20833333333333331,0.2916666666666667,0.375,44.0,0.3636363636363637,1610.0,0.8291925465838509,38.0,7.0,0.18421052631578946,0.3448275862068966,1.0,9.0,0.39130434782608703,4.0,10.0,0.0,0,0.3333333333333333,0.38167938931297707
246,2,0,0.43478260869565216,0.3478260869565217,0.0,43.0,0.18604651162790695,1541.0,0.7741726151849448,26.0,2.0,0.07692307692307693,0.5294117647058824,0.0,18.0,0.72,13.0,8.0,0.0,0,0.31746031746031744,0.3389830508474576
247,0,0,0.30612244897959184,0.42857142857142855,0.5,60.0,0.21666666666666667,1837.0,0.8094719651605881,49.0,8.0,0.16326530612244894,0.4166666666666667,0.0,22.0,0.5365853658536586,12.0,17.0,0.0,0,0.07692307692307693,0.3125
248,0,0,0.2564102564102564,0.4871794871794872,0.1,41.0,0.2926829268292683,1545.0,0.7695792880258899,34.0,4.0,0.1176470588235294,0.3333333333333333,0.0,11.0,0.4782608695652174,6.0,9.0,0.0,1,0.2222222222222222,0.39525691699604737
249,0,0,0.2058823529411765,0.29411764705882354,0.08333333333333333,51.0,0.19607843137254904,2269.0,0.8633759365359189,38.0,6.0,0.18421052631578946,0.2894736842105263,1.0,29.0,0.5918367346938775,15.0,21.0,0.0,0,0.037037037037037035,0.2898550724637681
250,3,1,0.4,0.2333333333333333,0.5,50.0,0.22,1804.0,0.8292682926829268,33.0,5.0,0.15151515151515152,0.7307692307692307,0.0,10.0,0.5263157894736842,4.0,15.0,0.0,0,0.14814814814814814,0.37453183520599254
251,1,1,0.2542372881355932,0.42372881355932196,0.2916666666666667,40.0,0.15,2278.0,0.8652326602282704,49.0,3.0,0.061224489795918366,0.3333333333333333,0.0,7.0,0.3888888888888889,6.0,6.0,0.0,0,0.14285714285714285,0.37735849056603776
252,0,1,0.28205128205128205,0.3333333333333333,0.21052631578947367,49.0,0.3877551020408163,2382.0,0.8602015113350125,43.0,9.0,0.2325581395348837,0.3333333333333333,0.0,16.0,0.5925925925925926,7.0,10.0,0.0,0,0.30303030303030304,0.38167938931297707
253,1,1,0.2857142857142857,0.2857142857142857,0.25,48.0,0.3125,2273.0,0.8473383194016718,30.0,6.0,0.2,0.5714285714285714,0.0,21.0,0.5833333333333334,13.0,18.0,0.0,0,0.1111111111111111,0.3436426116838488
254,0,1,0.1891891891891892,0.3783783783783784,0.0,54.0,0.12962962962962962,1637.0,0.7843616371411118,29.0,5.0,0.1724137931034483,0.4722222222222222,1.0,12.0,0.4615384615384616,3.0,5.0,0.0,1,0.30303030303030304,0.37735849056603776
255,1,1,0.375,0.40625,0.25,28.0,0.32142857142857145,2656.0,0.8648343373493976,46.0,5.0,0.10869565217391304,0.5384615384615384,1.0,16.0,0.5333333333333333,10.0,11.0,0.0,0,0.10526315789473684,0.3436426116838488
256,2,1,0.3018867924528302,0.490566037735849,0.5652173913043478,50.0,0.2,1832.0,0.7669213973799127,39.0,11.0,0.3076923076923077,0.4516129032258064,0.0,14.0,0.4827586206896552,8.0,19.0,0.0,0,0.26666666666666666,0.3278688524590164
257,3,1,0.30303030303030304,0.5151515151515151,0.21428571428571427,50.0,0.18,1497.0,0.7441549766199065,20.0,5.0,0.25,0.3,0.0,9.0,0.75,1.0,3.0,0.0,1,0.27548209366391185,0.3389830508474576
258,1,1,0.2916666666666667,0.5416666666666666,0.2352941176470588,46.0,0.2826086956521739,2605.0,0.8967370441458733,27.0,5.0,0.1851851851851852,0.5,0.0,6.0,0.4,5.0,9.0,0.0,0,0.15151515151515152,0.41152263374485604
259,0,1,0.2962962962962963,0.3703703703703704,0.5,24.0,0.16666666666666666,1495.0,0.7678929765886288,35.0,7.0,0.22857142857142854,0.4705882352941176,1.0,18.0,0.5,10.0,13.0,0.0,0,0.30303030303030304,0.39525691699604737
260,1,1,0.2954545454545455,0.4545454545454545,0.1875,56.0,0.14285714285714285,1813.0,0.7909542195256482,34.0,5.0,0.17647058823529413,0.5555555555555556,0.0,22.0,0.6666666666666666,11.0,15.0,0.0,0,0.2958579881656805,0.42372881355932196
261,3,1,0.3333333333333333,0.2380952380952381,0.25925925925925924,43.0,0.2790697674418605,1999.0,0.8499249624812406,34.0,4.0,0.1176470588235294,0.375,0.0,15.0,0.5769230769230769,7.0,9.0,0.0,0,0.3076923076923077,0.42372881355932196
262,0,1,0.30303030303030304,0.3333333333333333,0.35714285714285715,54.0,0.12962962962962962,2126.0,0.8532455315145814,37.0,5.0,0.13513513513513514,0.375,0.0,19.0,0.76,13.0,8.0,0.0,0,0.14925373134328357,0.3389830508474576
263,0,1,0.24444444444444444,0.4888888888888889,0.2857142857142857,30.0,0.13333333333333333,1999.0,0.8109054527263632,41.0,4.0,0.0975609756097561,0.3333333333333333,1.0,13.0,0.3939393939393939,7.0,14.0,0.0,0,0.13333333333333333,0.36363636363636365
264,0,1,0.3793103448275862,0.3448275862068966,0.4444444444444444,48.0,0.22916666666666666,2270.0,0.8885462555066079,43.0,4.0,0.09302325581395347,0.5833333333333334,0.0,18.0,0.6428571428571429,8.0,13.0,0.0,0,0.08695652173913043,0.35335689045936397
265,3,1,0.2,0.35,0.1,32.0,0.34375,2116.0,0.8766540642722117,27.0,2.0,0.07407407407407407,0.5,0.0,8.0,0.6666666666666666,3.0,4.0,0.0,0,0.3508771929824561,0.4
266,0,1,0.4,0.45,0.2857142857142857,33.0,0.12121212121212123,1683.0,0.7896613190730838,25.0,2.0,0.08,0.4,0.0,22.0,0.55,9.0,19.0,0.0,0,0.07692307692307693,0.28169014084507044
267,3,1,0.3235294117647059,0.4411764705882353,0.25,43.0,0.2558139534883721,2384.0,0.8754194630872483,37.0,11.0,0.2972972972972973,0.5652173913043478,0.0,11.0,0.5789473684210527,5.0,19.0,0.0,0,0.14814814814814814,0.39525691699604737
268,2,1,0.3207547169811321,0.5283018867924528,0.3181818181818182,32.0,0.15625,2684.0,0.8643815201192251,27.0,6.0,0.2222222222222222,0.4482758620689655,0.0,16.0,0.6153846153846154,8.0,8.0,0.0,0,0.1724137931034483,0.3891050583657587
269,0,1,0.275,0.35,0.45,43.0,0.11627906976744184,2290.0,0.8663755458515284,30.0,7.0,0.2333333333333333,0.45,0.0,17.0,0.85,8.0,5.0,0.0,0,0.2724795640326976,0.37453183520599254
270,2,1,0.2682926829268293,0.36585365853658536,0.4666666666666667,47.0,0.1914893617021277,1935.0,0.8444444444444444,33.0,4.0,0.12121212121212123,0.3448275862068966,1.0,10.0,0.5,1.0,8.0,0.0,0,0.28169014084507044,0.425531914893617
