,Match_ID,Team_ID,FK_Tot,FK_Ind,FK_Dir,FK_St,FK_Med,FK_Lg,FK_Cross,FK_Unsuccessful
290,2021607,50157,20,3,17,3,2,15,1,2
291,2021607,2603790,10,3,7,1,8,1,1,1
292,2021608,50023,18,2,16,4,12,2,2,4
293,2021608,50064,15,0,15,1,7,7,0,0
294,2021609,52758,11,3,8,2,7,2,1,1
295,2021609,50051,9,1,8,0,4,5,1,1
296,2021610,50118,11,0,11,2,7,2,1,1
297,2021610,1652,12,3,9,4,3,5,0,0
298,2021611,59856,8,1,7,2,5,1,0,0
299,2021611,50147,16,1,15,1,8,7,2,2
300,2021612,54266,6,1,5,1,4,1,0,0
301,2021612,52682,9,0,9,3,4,2,0,0
302,2021613,52747,19,1,18,7,9,3,0,0
303,2021613,50037,11,1,10,2,8,1,0,0
304,2021614,50074,14,0,14,4,5,5,0,0
305,2021614,50050,16,4,12,1,9,6,1,2
306,2021615,50124,12,1,11,0,10,2,2,1
307,2021615,52914,15,1,14,1,12,2,4,1
308,2021616,60609,9,0,9,2,4,3,0,0
309,2021616,50137,26,4,22,7,12,7,1,1
310,2021617,50149,16,2,14,3,5,8,1,1
311,2021617,50080,22,1,21,6,12,4,3,3
312,2021618,50139,16,3,13,6,8,2,0,0
313,2021618,2610,15,1,14,1,2,12,1,2
314,2021619,50068,13,3,10,2,4,7,1,1
315,2021619,52714,9,2,7,1,8,0,0,0
316,2021620,57490,14,3,11,3,8,3,0,1
317,2021620,7889,13,3,10,1,10,2,0,0
318,2021621,52919,9,1,8,4,4,1,0,0
319,2021621,50136,15,3,12,8,5,2,0,0
320,2021622,52749,18,1,17,3,7,7,3,4
321,2021622,52707,15,2,13,4,7,4,0,0
322,2021623,50023,15,2,13,1,14,0,2,2
323,2021623,50157,14,0,14,1,5,8,0,0
324,2021624,2603790,16,2,14,5,6,5,1,1
325,2021624,50064,8,0,8,1,3,4,0,1
326,2021625,50118,13,1,12,3,2,8,0,1
327,2021625,52758,19,4,15,5,11,3,0,0
328,2021626,50051,16,0,16,1,11,4,2,1
329,2021626,1652,16,4,12,1,10,5,1,1
330,2021627,54266,26,6,20,4,14,8,0,2
331,2021627,59856,14,1,13,0,9,5,2,3
